System,3dB Method,Sionna Method,1st Slope Method
BL (no RAPP),-11.290500423782605,-12.434789569731294,-58.96261778214147
BL (p=1),-10.94118587752444,-12.366879744919162,-51.592777204449135
BL (p=2),-10.900552830678611,-12.342321810556655,-52.77701809388118
BL (p=3),-10.744510855999483,-12.438496478270778,-48.441887576264016
E2E (no RAPP),-11.059274552133438,-12.349379628186025,-57.81507428584051
E2E (p=1),-10.886648144116169,-12.342150834029397,-51.29666845581695
E2E (p=2),-10.702285336423895,-12.36031508054712,-52.496796092602835
E2E (p=3),-11.236651223284895,-12.399650119730886,-50.05982663174429
E2E RAPP (p=1),-9.710288103210658,-11.428657374371182,-43.528070184401564
E2E RAPP (p=3),-10.00091372920659,-11.538201677651188,-49.82516189681881
